"","value","author_label","country_continent","year_label","continent_label"
"1",46.1538461538462,"No authors","Country",2013,NA
"2",9.09090909090909,"No authors","Country",2016,NA
"3",0,"No authors","Country",2012,NA
"4",20,"No authors","Country",2014,NA
"5",0,"No authors","Country",2009,NA
"6",0,"No authors","Country",2015,NA
"7",25,"No authors","Country",2018,NA
"8",25,"No authors","Country",2019,NA
"9",33.3333333333333,"No authors","Country",2020,NA
"10",14.2857142857143,"No authors","Country",2011,NA
"11",14.2857142857143,"No authors","Country",2010,NA
"12",11.1111111111111,"No authors","Country",2017,NA
"13",53.8461538461538,"Any authors","Country",2013,NA
"14",90.9090909090909,"Any authors","Country",2016,NA
"15",100,"Any authors","Country",2012,NA
"16",80,"Any authors","Country",2014,NA
"17",100,"Any authors","Country",2009,NA
"18",100,"Any authors","Country",2015,NA
"19",75,"Any authors","Country",2018,NA
"20",75,"Any authors","Country",2019,NA
"21",66.6666666666667,"Any authors","Country",2020,NA
"22",85.7142857142857,"Any authors","Country",2011,NA
"23",85.7142857142857,"Any authors","Country",2010,NA
"24",88.8888888888889,"Any authors","Country",2017,NA
"25",53.8461538461538,"Lead authors","Country",2013,NA
"26",90.9090909090909,"Lead authors","Country",2016,NA
"27",100,"Lead authors","Country",2012,NA
"28",80,"Lead authors","Country",2014,NA
"29",100,"Lead authors","Country",2009,NA
"30",100,"Lead authors","Country",2015,NA
"31",75,"Lead authors","Country",2018,NA
"32",75,"Lead authors","Country",2019,NA
"33",66.6666666666667,"Lead authors","Country",2020,NA
"34",85.7142857142857,"Lead authors","Country",2011,NA
"35",85.7142857142857,"Lead authors","Country",2010,NA
"36",88.8888888888889,"Lead authors","Country",2017,NA
"37",53.8461538461538,"All authors","Country",2013,NA
"38",63.6363636363636,"All authors","Country",2016,NA
"39",71.4285714285714,"All authors","Country",2012,NA
"40",70,"All authors","Country",2014,NA
"41",88.8888888888889,"All authors","Country",2009,NA
"42",100,"All authors","Country",2015,NA
"43",75,"All authors","Country",2018,NA
"44",50,"All authors","Country",2019,NA
"45",33.3333333333333,"All authors","Country",2020,NA
"46",85.7142857142857,"All authors","Country",2011,NA
"47",78.5714285714286,"All authors","Country",2010,NA
"48",77.7777777777778,"All authors","Country",2017,NA
"49",7.69230769230769,"No authors","Continent",2013,NA
"50",0,"No authors","Continent",2016,NA
"51",0,"No authors","Continent",2012,NA
"52",0,"No authors","Continent",2014,NA
"53",0,"No authors","Continent",2009,NA
"54",0,"No authors","Continent",2015,NA
"55",0,"No authors","Continent",2018,NA
"56",0,"No authors","Continent",2019,NA
"57",0,"No authors","Continent",2020,NA
"58",0,"No authors","Continent",2011,NA
"59",0,"No authors","Continent",2010,NA
"60",11.1111111111111,"No authors","Continent",2017,NA
"61",92.3076923076923,"Any authors","Continent",2013,NA
"62",100,"Any authors","Continent",2016,NA
"63",100,"Any authors","Continent",2012,NA
"64",100,"Any authors","Continent",2014,NA
"65",100,"Any authors","Continent",2009,NA
"66",100,"Any authors","Continent",2015,NA
"67",100,"Any authors","Continent",2018,NA
"68",100,"Any authors","Continent",2019,NA
"69",100,"Any authors","Continent",2020,NA
"70",100,"Any authors","Continent",2011,NA
"71",100,"Any authors","Continent",2010,NA
"72",88.8888888888889,"Any authors","Continent",2017,NA
"73",92.3076923076923,"Lead authors","Continent",2013,NA
"74",100,"Lead authors","Continent",2016,NA
"75",100,"Lead authors","Continent",2012,NA
"76",100,"Lead authors","Continent",2014,NA
"77",100,"Lead authors","Continent",2009,NA
"78",100,"Lead authors","Continent",2015,NA
"79",100,"Lead authors","Continent",2018,NA
"80",75,"Lead authors","Continent",2019,NA
"81",100,"Lead authors","Continent",2020,NA
"82",100,"Lead authors","Continent",2011,NA
"83",100,"Lead authors","Continent",2010,NA
"84",88.8888888888889,"Lead authors","Continent",2017,NA
"85",69.2307692307692,"All authors","Continent",2013,NA
"86",63.6363636363636,"All authors","Continent",2016,NA
"87",71.4285714285714,"All authors","Continent",2012,NA
"88",90,"All authors","Continent",2014,NA
"89",88.8888888888889,"All authors","Continent",2009,NA
"90",100,"All authors","Continent",2015,NA
"91",100,"All authors","Continent",2018,NA
"92",50,"All authors","Continent",2019,NA
"93",66.6666666666667,"All authors","Continent",2020,NA
"94",100,"All authors","Continent",2011,NA
"95",92.8571428571429,"All authors","Continent",2010,NA
"96",77.7777777777778,"All authors","Continent",2017,NA
