row_id,row_code,study_year,study_country,study_continent,page_id,page_link,author_id,affiliation_text,affiliation_country,affiliation_type,affiliation_extra_info,affiliation_continent,uniqueauthor,lead_author
1,Africa1,2011,Uganda,Africa,5611,https://www.conservationevidence.com/individual-study/5611,1,"Dept. of Geography, McGill University, 805 Sherbrooke St. W., Montreal, QC, Canada H3A 2K6",Canada,University,,North America,5611 1,1
2,Africa1,2011,Uganda,Africa,5611,https://www.conservationevidence.com/individual-study/5611,2,"Dept. of Geography, McGill University, 805 Sherbrooke St. W., Montreal, QC, Canada H3A 2K6",Canada,University,,North America,5611 2,0
3,Africa1,2011,Uganda,Africa,5611,https://www.conservationevidence.com/individual-study/5611,3,"Dept. of Geography, McGill University, 805 Sherbrooke St. W., Montreal, QC, Canada H3A 2K6",Canada,University,,North America,5611 3,1
4,Africa10,2016,South Africa,Africa,6515,https://www.conservationevidence.com/individual-study/6515,1,"Department of Environmental Science, Rhodes University, Grahamstown, 6140 South Africa",South Africa,University,,Africa,6515 1,1
5,Africa10,2016,South Africa,Africa,6515,https://www.conservationevidence.com/individual-study/6515,2,"Department of Environmental Science, Rhodes University, Grahamstown, 6140 South Africa",South Africa,University,,Africa,6515 2,1
6,Africa11,2014,Nigeria,Africa,6373,https://www.conservationevidence.com/individual-study/6373,1,"Wildlife Conservation Society Nigeria, GPO Box 796, Calabar, Nigeria",Nigeria,NGO,,Africa,6373 1,1
7,Africa11,2014,Nigeria,Africa,6373,https://www.conservationevidence.com/individual-study/6373,2,"Wildlife Conservation Society Nigeria, GPO Box 796, Calabar, Nigeria",Nigeria,NGO,,Africa,6373 2,0
8,Africa11,2014,Nigeria,Africa,6373,https://www.conservationevidence.com/individual-study/6373,3,"Wildlife Conservation Society Nigeria, GPO Box 796, Calabar, Nigeria",Nigeria,NGO,,Africa,6373 3,1
9,Africa12,2014,Nigeria,Africa,6343,https://www.conservationevidence.com/individual-study/6343,1,"Department of Natural and Environmental Sciences, American University of Nigeria, Yola, Adamawa State, Nigeria",Nigeria,University,although US university of Nigeria,Africa,6343 1,1
10,Africa12,2014,Nigeria,Africa,6343,https://www.conservationevidence.com/individual-study/6343,2,"Department of Crop and Soil Sciences, Faculty of Agriculture, University of Port Harcourt, Port Harcourt, Rivers State, Nigeria",Nigeria,University,,Africa,6343 2,0
11,Africa12,2014,Nigeria,Africa,6343,https://www.conservationevidence.com/individual-study/6343,3,"Department of Crop Protection and Environmental Biology, University of Ibadan, Ibadan, Oyo State, Nigeria",Nigeria,University,,Africa,6343 3,1
12,Africa13,2010,Ethiopia,Africa,5207,https://www.conservationevidence.com/individual-study/5207,1,"Ethiopian Institute of Agricultural Research, Melkassa Research Center, P.O. Box 436, Nazareth, Ethiopia",Ethiopia,Government,Funded by EU,Africa,5207 1,1
13,Africa13,2010,Ethiopia,Africa,5207,https://www.conservationevidence.com/individual-study/5207,2,"University of Nebraska-Lincoln, 202 Entomology Hall, Lincoln, NE 68583-0816, USA",USA,University,,North America,5207 2,1
14,Africa14,2017,Botswana,Africa,7351,https://www.conservationevidence.com/individual-study/7351,1,"Fowlers Gap Arid Zone Research Station, Centre of Ecosystem Science, School of Biological Earth and Environmental Sciences, University of New South Wales, Australia",Australia,University,,Oceania,7351 1,1
15,Africa14,2017,Botswana,Africa,7351,https://www.conservationevidence.com/individual-study/7351,2,"Elephants Without Borders, Kasane, Botswana",Botswana,NGO,,Africa,7351 2,0
16,Africa14,2017,Botswana,Africa,7351,https://www.conservationevidence.com/individual-study/7351,3,"Evolution & Ecology Research Centre, School of Biological Earth and Environmental Sciences, University of New South Wales, Australia",Australia,University,,Oceania,7351 3,0
17,Africa14,2017,Botswana,Africa,7351,https://www.conservationevidence.com/individual-study/7351,4,"Fowlers Gap Arid Zone Research Station, Centre of Ecosystem Science, School of Biological Earth and Environmental Sciences, University of New South Wales, Australia",Australia,University,,Oceania,7351 4,1
18,Africa15,2014,Kenya,Africa,7603,https://www.conservationevidence.com/individual-study/7603,1,"Living with Lions, P.O. Box 555 Nanyuki 10400, Kenya",Kenya,NGO,,Africa,7603 1,1
19,Africa15,2014,Kenya,Africa,7603,https://www.conservationevidence.com/individual-study/7603,2,"Living with Lions, P.O. Box 555 Nanyuki 10400, Kenya",Kenya,NGO,,Africa,7603 2,0
20,Africa15,2014,Kenya,Africa,7603,https://www.conservationevidence.com/individual-study/7603,3,"Department of Geography, University of Wisconsin-Madison, Room 355 Science Hall, 550 North Park Street, Madison, WI, 53706-1404 U.S.A.",USA,University,,North America,7603 3,0
21,Africa15,2014,Kenya,Africa,7603,https://www.conservationevidence.com/individual-study/7603,4,"Imperial College London, Silwood Park Campus, Ascot, Surrey, SL5 7PY, United Kingdom",UK,University,,Europe,7603 4,0
22,Africa15,2014,Kenya,Africa,7603,https://www.conservationevidence.com/individual-study/7603,5,"National Museums of Kenya, Osteology Section, P.O. Box 40658-00100 Nairobi, Kenya",Kenya,Government,,Africa,7603 5,0
23,Africa15,2014,Kenya,Africa,7603,https://www.conservationevidence.com/individual-study/7603,6,"Maasailand Preservation Trust (Predator Compensation Fund), P.O. Box 24133, Nairobi 00502, Kenya",Kenya,NGO,,Africa,7603 6,0
