rowid,sampid,Lat,Long,Link (URL),Hyperlink,Language,Reference Type,Authors (separate with//),study_year,Journal,Volume,Issue,Pages,study_country,study_continent,authorid,affiliation_country,affiliation_continent,uniqueauthor,lead_author
1,22,8.466667,30.9,https://www.persee.fr/doc/ecmed_0153-8756_2013_num_39_1_1298,https://www.persee.fr/doc/ecmed_0153-8756_2013_num_39_1_1298,French,Journal article,Abderrahim Ferradous // Mohamed Alifriqui // Mohamed Hafidi // Robin Duponnois,2013,Ecologia Mediterranea,39,1,115-121,South Sudan,Africa,1,Morocco,Africa,22 1,1
2,22,8.466667,30.9,https://www.persee.fr/doc/ecmed_0153-8756_2013_num_39_1_1298,https://www.persee.fr/doc/ecmed_0153-8756_2013_num_39_1_1298,French,Journal article,Abderrahim Ferradous // Mohamed Alifriqui // Mohamed Hafidi // Robin Duponnois,2013,Ecologia Mediterranea,39,1,115-121,South Sudan,Africa,2,Morocco,Africa,22 2,0
3,22,8.466667,30.9,https://www.persee.fr/doc/ecmed_0153-8756_2013_num_39_1_1298,https://www.persee.fr/doc/ecmed_0153-8756_2013_num_39_1_1298,French,Journal article,Abderrahim Ferradous // Mohamed Alifriqui // Mohamed Hafidi // Robin Duponnois,2013,Ecologia Mediterranea,39,1,115-121,South Sudan,Africa,3,Morocco,Africa,22 3,0
4,22,8.466667,30.9,https://www.persee.fr/doc/ecmed_0153-8756_2013_num_39_1_1298,https://www.persee.fr/doc/ecmed_0153-8756_2013_num_39_1_1298,French,Journal article,Abderrahim Ferradous // Mohamed Alifriqui // Mohamed Hafidi // Robin Duponnois,2013,Ecologia Mediterranea,39,1,115-121,South Sudan,Africa,4,France,Europe,22 4,1
5,38,31.99027778,1,https://popups.uliege.be/1780-4507/index.php?id=12576,https://popups.uliege.be/1780-4507/index.php?id=12576,French,Journal article,"Amghar, Fateh/ Langlois, Estelle/ Forey, Estelle/ Margerie, Pierre",2016,BIOTECHNOLOGIE AGRONOMIE SOCIETE ET ENVIRONNEMENT,20,3,386-396,Algeria,Africa,1,Algeria,Africa,38 1,1
6,38,31.99027778,1,https://popups.uliege.be/1780-4507/index.php?id=12576,https://popups.uliege.be/1780-4507/index.php?id=12576,French,Journal article,"Amghar, Fateh/ Langlois, Estelle/ Forey, Estelle/ Margerie, Pierre",2016,BIOTECHNOLOGIE AGRONOMIE SOCIETE ET ENVIRONNEMENT,20,3,386-396,Algeria,Africa,2,France,Europe,38 2,0
7,38,31.99027778,1,https://popups.uliege.be/1780-4507/index.php?id=12576,https://popups.uliege.be/1780-4507/index.php?id=12576,French,Journal article,"Amghar, Fateh/ Langlois, Estelle/ Forey, Estelle/ Margerie, Pierre",2016,BIOTECHNOLOGIE AGRONOMIE SOCIETE ET ENVIRONNEMENT,20,3,386-396,Algeria,Africa,3,France,Europe,38 3,0
8,38,31.99027778,1,https://popups.uliege.be/1780-4507/index.php?id=12576,https://popups.uliege.be/1780-4507/index.php?id=12576,French,Journal article,"Amghar, Fateh/ Langlois, Estelle/ Forey, Estelle/ Margerie, Pierre",2016,BIOTECHNOLOGIE AGRONOMIE SOCIETE ET ENVIRONNEMENT,20,3,386-396,Algeria,Africa,4,France,Europe,38 4,1
9,46,34.25722222,1.966388889,http://hdl.handle.net/2042/55919,http://hdl.handle.net/2042/55919,French,Journal article,Amghar/Forey/Margerie/Langlois/Brouri/Kadi-Hanifi,2012,Revue d'?cologie,67,3,257-269,Algeria,Africa,1,Algeria,Africa,46 1,1
10,46,34.25722222,1.966388889,http://hdl.handle.net/2042/55919,http://hdl.handle.net/2042/55919,French,Journal article,Amghar/Forey/Margerie/Langlois/Brouri/Kadi-Hanifi,2012,Revue d'?cologie,67,3,257-269,Algeria,Africa,2,France,Europe,46 2,0
